County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
HUNT,0.0,0.0,0.0,6150.0,2540.0,6897.0,46998.0,85214.0,28815.0,22830.0,19530.0,41650.0,50996.0,17507.0,59900.0,44954.0
HUTCHINSON,25748834.0,13991171.0,13102601.0,11931009.0,11671661.0,9376729.0,7076285.0,6318562.0,5948576.0,5843723.0,5249667.0,5187423.0,5125505.0,5087657.0,4480725.0,3237812.0
IRION,14077513.0,13679789.0,18991273.0,18644616.0,29802970.0,25565308.0,22015162.0,17331369.0,26093765.0,26493950.0,16262475.0,13868624.0,16430531.0,18644580.0,18941954.0,12675427.0
JACK,11868211.0,15139249.0,21963188.0,25836624.0,31657309.0,26230092.0,18036559.0,13959624.0,14308721.0,14192594.0,10574092.0,9796083.0,10393378.0,9019654.0,8397079.0,6347687.0
JACKSON,20498154.0,28123191.0,30789045.0,42829605.0,45636680.0,35348234.0,30930020.0,34929048.0,55553792.0,72678087.0,64460463.0,67235718.0,52931420.0,57654103.0,64961942.0,42648033.0
JASPER,6424793.0,4807701.0,2836747.0,3948437.0,5044635.0,5089031.0,3783943.0,4199429.0,4263675.0,3227293.0,3040327.0,3761275.0,3842901.0,2560468.0,2273918.0,1653216.0
JEFF DAVIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON,84430378.0,103438952.0,87114461.0,67424097.0,26337697.0,39744848.0,39248450.0,26502848.0,15617861.0,33857468.0,18816715.0,29662433.0,20124312.0,19876411.0,45958291.0,38290087.0
JIM HOGG,983283.0,881736.0,1002576.0,1050307.0,1024936.0,974040.0,968571.0,973221.0,817832.0,671117.0,391288.0,481548.0,445153.0,436142.0,377145.0,306306.0
JIM WELLS,2467529.0,3183897.0,2827138.0,2628829.0,2474442.0,1905039.0,1704085.0,1580572.0,1516852.0,1508726.0,1163436.0,1111348.0,1228807.0,1014810.0,875491.0,398484.0
JOHNSON,90902562.0,100152186.0,93085495.0,80311236.0,71590964.0,58874351.0,51012588.0,48980749.0,42041973.0,35162544.0,31321773.0,30871958.0,31936148.0,31960690.0,27551236.0,20518068.0
JONES,7271700.0,7703665.0,8230859.0,9464496.0,8820309.0,8687908.0,7361253.0,6564432.0,6455369.0,5895719.0,5701693.0,5546033.0,5167746.0,5551886.0,5717315.0,4144593.0
KARNES,3833007.0,5552786.0,15939588.0,36725887.0,49827286.0,55856511.0,51040635.0,65212476.0,77247813.0,87511599.0,60469007.0,56573530.0,64959186.0,72425700.0,77961207.0,59854568.0
KAUFMAN,3765410.0,3836203.0,4309152.0,3810012.0,4249089.0,3587050.0,2551406.0,2213599.0,2408231.0,2726421.0,2115327.0,2369604.0,3155069.0,2761855.0,2611916.0,2031120.0
KENDALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KENEDY,3153213.0,2981019.0,2541717.0,2774911.0,2154504.0,2047698.0,1229364.0,1796825.0,1842992.0,1901718.0,1603530.0,1865666.0,1839129.0,1550922.0,1454194.0,1041108.0
KENT,136901533.0,141587981.0,141472221.0,144745270.0,150650205.0,146826767.0,134377367.0,125037720.0,132005974.0,125063467.0,112407391.0,103955262.0,111862887.0,93544512.0,94993814.0,74983237.0
KERR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIMBLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
